loss,reconstruction_loss,kl_loss,epoch,step,validation_loss
579.4871826171875,1.035438895225525,578.4517211914062,0,3,
,,,0,3,19.928173065185547
223.25323486328125,1.0252721309661865,222.22796630859375,1,7,
,,,1,7,23.435075759887695
115.1851577758789,1.0167235136032104,114.1684341430664,2,11,
,,,2,11,29.051437377929688
71.84589385986328,1.010491132736206,70.83540344238281,3,15,
,,,3,15,32.22484588623047
45.696189880371094,1.0041742324829102,44.6920166015625,4,19,
,,,4,19,28.301902770996094
29.394926071166992,0.9941927194595337,28.400733947753906,5,23,
,,,5,23,21.551288604736328
23.132755279541016,0.9883567690849304,22.144397735595703,6,27,
,,,6,27,17.19384765625
22.813175201416016,0.9775991439819336,21.835575103759766,7,31,
,,,7,31,14.537639617919922
12.838553428649902,0.9742072820663452,11.864346504211426,8,35,
,,,8,35,12.334648132324219
11.855256080627441,0.96038818359375,10.894867897033691,9,39,
,,,9,39,10.02992057800293
8.579472541809082,0.9567872285842896,7.622685432434082,10,43,
,,,10,43,8.42640209197998
7.844101905822754,0.9485036730766296,6.895598411560059,11,47,
,,,11,47,7.579594612121582
8.851895332336426,0.9410737752914429,7.910821437835693,12,51,
,,,12,51,7.169814109802246
7.232907772064209,0.9275957345962524,6.305312156677246,13,55,
,,,13,55,6.335581302642822
5.822638988494873,0.9258268475532532,4.8968119621276855,14,59,
,,,14,59,6.195781707763672
17.128644943237305,0.9193167686462402,16.209327697753906,15,63,
,,,15,63,6.032255172729492
13.588607788085938,0.9086980819702148,12.679909706115723,16,67,
,,,16,67,6.590307235717773
5.576450824737549,0.9017585515975952,4.674692153930664,17,71,
,,,17,71,5.960785865783691
9.1331787109375,0.897235095500946,8.235943794250488,18,75,
,,,18,75,5.52890682220459
7.291009426116943,0.8889487981796265,6.402060508728027,19,79,
,,,19,79,5.024538516998291
4.653267860412598,0.8825861215591431,3.770681858062744,20,83,
,,,20,83,5.0107951164245605
3.929490804672241,0.8717185854911804,3.057772159576416,21,87,
,,,21,87,5.00656270980835
4.2661356925964355,0.8695849180221558,3.3965506553649902,22,91,
,,,22,91,4.679046154022217
3.485781669616699,0.8647581338882446,2.621023416519165,23,95,
,,,23,95,4.38407039642334
3.4103002548217773,0.8502056002616882,2.5600945949554443,24,99,
,,,24,99,4.1180033683776855
4.4219841957092285,0.8445345163345337,3.5774497985839844,25,103,
,,,25,103,3.8014931678771973
2.8076863288879395,0.8392391204833984,1.9684473276138306,26,107,
,,,26,107,3.554048538208008
3.3143396377563477,0.830715000629425,2.4836246967315674,27,111,
,,,27,111,3.6941606998443604
2.811788558959961,0.8205913305282593,1.9911973476409912,28,115,
,,,28,115,3.304401397705078
2.4747729301452637,0.8220841288566589,1.6526888608932495,29,119,
,,,29,119,3.0320050716400146
3.307687282562256,0.8113433122634888,2.4963440895080566,30,123,
,,,30,123,3.1543829441070557
2.591170310974121,0.8003206253051758,1.7908496856689453,31,127,
,,,31,127,3.082946300506592
2.8306517601013184,0.8022443652153015,2.028407335281372,32,131,
,,,32,131,3.090348720550537
2.5760984420776367,0.7910332083702087,1.7850652933120728,33,135,
,,,33,135,2.9486565589904785
2.8189585208892822,0.7850363850593567,2.0339221954345703,34,139,
,,,34,139,2.868603467941284
2.3116531372070312,0.7789689302444458,1.532684326171875,35,143,
,,,35,143,3.1068477630615234
4.872607231140137,0.7734328508377075,4.099174499511719,36,147,
,,,36,147,2.745368003845215
2.2592458724975586,0.7633728981018066,1.495872974395752,37,151,
,,,37,151,2.597799062728882
2.1579573154449463,0.7601199746131897,1.3978372812271118,38,155,
,,,38,155,2.564692258834839
2.4553987979888916,0.7509198188781738,1.7044789791107178,39,159,
,,,39,159,2.2484781742095947
2.3507940769195557,0.7458895444869995,1.6049045324325562,40,163,
,,,40,163,2.515498638153076
2.141937494277954,0.7377238273620605,1.4042136669158936,41,167,
,,,41,167,2.147221565246582
2.2515158653259277,0.7340561151504517,1.5174598693847656,42,171,
,,,42,171,2.2812371253967285
2.4325971603393555,0.7293277978897095,1.7032692432403564,43,175,
,,,43,175,2.193648338317871
2.040705680847168,0.7202584147453308,1.320447325706482,44,179,
,,,44,179,2.1110262870788574
2.540104389190674,0.7133234739303589,1.8267807960510254,45,183,
,,,45,183,2.1429519653320312
2.428292751312256,0.7112534046173096,1.7170392274856567,46,187,
,,,46,187,2.3408708572387695
2.1422483921051025,0.7008672952651978,1.4413810968399048,47,191,
,,,47,191,2.5509722232818604
2.1540896892547607,0.6971799731254578,1.4569096565246582,48,195,
,,,48,195,2.2195682525634766
1.8158965110778809,0.6911746263504028,1.124721884727478,49,199,
,,,49,199,2.116635799407959
