validation_loss,loss,reconstruction_loss,kl_loss,epoch,step
20.10070037841797,-1.0,-1.0,-1.0,0,3
23.702333450317383,-1.0,-1.0,-1.0,1,7
29.99956512451172,-1.0,-1.0,-1.0,2,11
33.3069953918457,-1.0,-1.0,-1.0,3,15
27.91454315185547,-1.0,-1.0,-1.0,4,19
22.851112365722656,-1.0,-1.0,-1.0,5,23
18.247983932495117,-1.0,-1.0,-1.0,6,27
14.631247520446777,-1.0,-1.0,-1.0,7,31
12.429235458374023,-1.0,-1.0,-1.0,8,35
10.661856651306152,-1.0,-1.0,-1.0,9,39
9.680468559265137,-1.0,-1.0,-1.0,10,43
8.379684448242188,-1.0,-1.0,-1.0,11,47
-1.0,7.388153553009033,0.9456363916397095,6.442517280578613,12,49
7.450121879577637,-1.0,-1.0,-1.0,12,51
6.727229118347168,-1.0,-1.0,-1.0,13,55
6.175451755523682,-1.0,-1.0,-1.0,14,59
6.154914855957031,-1.0,-1.0,-1.0,15,63
5.835122108459473,-1.0,-1.0,-1.0,16,67
5.170890808105469,-1.0,-1.0,-1.0,17,71
5.113619804382324,-1.0,-1.0,-1.0,18,75
5.047675132751465,-1.0,-1.0,-1.0,19,79
4.935889720916748,-1.0,-1.0,-1.0,20,83
4.610933303833008,-1.0,-1.0,-1.0,21,87
4.424538612365723,-1.0,-1.0,-1.0,22,91
4.064133167266846,-1.0,-1.0,-1.0,23,95
-1.0,3.9351694583892822,0.8550875782966614,3.0800819396972656,24,99
4.553930282592773,-1.0,-1.0,-1.0,24,99
4.307720184326172,-1.0,-1.0,-1.0,25,103
3.881777286529541,-1.0,-1.0,-1.0,26,107
4.099854946136475,-1.0,-1.0,-1.0,27,111
3.688837766647339,-1.0,-1.0,-1.0,28,115
3.790128231048584,-1.0,-1.0,-1.0,29,119
3.429049491882324,-1.0,-1.0,-1.0,30,123
3.6718063354492188,-1.0,-1.0,-1.0,31,127
3.350860118865967,-1.0,-1.0,-1.0,32,131
2.931983470916748,-1.0,-1.0,-1.0,33,135
3.0872461795806885,-1.0,-1.0,-1.0,34,139
2.8496286869049072,-1.0,-1.0,-1.0,35,143
2.7934558391571045,-1.0,-1.0,-1.0,36,147
-1.0,2.5176358222961426,0.7680994868278503,1.7495362758636475,37,149
2.634932279586792,-1.0,-1.0,-1.0,37,151
3.1769638061523438,-1.0,-1.0,-1.0,38,155
2.727627754211426,-1.0,-1.0,-1.0,39,159
2.7063465118408203,-1.0,-1.0,-1.0,40,163
2.790398597717285,-1.0,-1.0,-1.0,41,167
2.5864219665527344,-1.0,-1.0,-1.0,42,171
2.552335500717163,-1.0,-1.0,-1.0,43,175
2.3514130115509033,-1.0,-1.0,-1.0,44,179
2.213811159133911,-1.0,-1.0,-1.0,45,183
2.3701961040496826,-1.0,-1.0,-1.0,46,187
2.2174482345581055,-1.0,-1.0,-1.0,47,191
2.20198655128479,-1.0,-1.0,-1.0,48,195
-1.0,2.7334892749786377,0.6916421055793762,2.0418472290039062,49,199
2.5163912773132324,-1.0,-1.0,-1.0,49,199
2.2058441638946533,-1.0,-1.0,-1.0,50,203
2.3763134479522705,-1.0,-1.0,-1.0,51,207
1.9811862707138062,-1.0,-1.0,-1.0,52,211
2.1004066467285156,-1.0,-1.0,-1.0,53,215
2.143686532974243,-1.0,-1.0,-1.0,54,219
2.125124216079712,-1.0,-1.0,-1.0,55,223
2.020840883255005,-1.0,-1.0,-1.0,56,227
1.8000540733337402,-1.0,-1.0,-1.0,57,231
2.0779969692230225,-1.0,-1.0,-1.0,58,235
1.8331987857818604,-1.0,-1.0,-1.0,59,239
1.661260962486267,-1.0,-1.0,-1.0,60,243
1.9282910823822021,-1.0,-1.0,-1.0,61,247
-1.0,1.688399314880371,0.6220178604125977,1.0663814544677734,62,249
1.8585689067840576,-1.0,-1.0,-1.0,62,251
1.8032724857330322,-1.0,-1.0,-1.0,63,255
1.7441760301589966,-1.0,-1.0,-1.0,64,259
1.6351251602172852,-1.0,-1.0,-1.0,65,263
1.5790221691131592,-1.0,-1.0,-1.0,66,267
1.495395541191101,-1.0,-1.0,-1.0,67,271
1.500062108039856,-1.0,-1.0,-1.0,68,275
1.6107871532440186,-1.0,-1.0,-1.0,69,279
1.3811606168746948,-1.0,-1.0,-1.0,70,283
1.4823205471038818,-1.0,-1.0,-1.0,71,287
1.3463809490203857,-1.0,-1.0,-1.0,72,291
1.4730989933013916,-1.0,-1.0,-1.0,73,295
-1.0,1.1761256456375122,0.5551279187202454,0.6209977269172668,74,299
1.3341388702392578,-1.0,-1.0,-1.0,74,299
1.4028233289718628,-1.0,-1.0,-1.0,75,303
1.491281270980835,-1.0,-1.0,-1.0,76,307
1.3470286130905151,-1.0,-1.0,-1.0,77,311
1.1747156381607056,-1.0,-1.0,-1.0,78,315
1.2140146493911743,-1.0,-1.0,-1.0,79,319
1.4495599269866943,-1.0,-1.0,-1.0,80,323
1.3126208782196045,-1.0,-1.0,-1.0,81,327
1.271298885345459,-1.0,-1.0,-1.0,82,331
1.1909658908843994,-1.0,-1.0,-1.0,83,335
1.2454488277435303,-1.0,-1.0,-1.0,84,339
1.0951497554779053,-1.0,-1.0,-1.0,85,343
1.0936734676361084,-1.0,-1.0,-1.0,86,347
-1.0,1.147678017616272,0.49559804797172546,0.6520799398422241,87,349
1.2540638446807861,-1.0,-1.0,-1.0,87,351
1.2314648628234863,-1.0,-1.0,-1.0,88,355
1.0510060787200928,-1.0,-1.0,-1.0,89,359
1.1187330484390259,-1.0,-1.0,-1.0,90,363
1.146829605102539,-1.0,-1.0,-1.0,91,367
1.0863748788833618,-1.0,-1.0,-1.0,92,371
1.1331602334976196,-1.0,-1.0,-1.0,93,375
1.0525275468826294,-1.0,-1.0,-1.0,94,379
1.0057709217071533,-1.0,-1.0,-1.0,95,383
