validation_loss,epoch,step,loss,reconstruction_loss,kl_loss
14.57155990600586,0,3,,,
,0,3,484.31793212890625,1.039304256439209,483.278564453125
17.898956298828125,1,7,,,
,1,7,215.33409118652344,1.0303282737731934,214.3037567138672
22.71820640563965,2,11,,,
,2,11,112.58318328857422,1.0206685066223145,111.56251525878906
25.364273071289062,3,15,,,
,3,15,64.73875427246094,1.013396143913269,63.72536087036133
23.95877456665039,4,19,,,
,4,19,43.103904724121094,1.003692865371704,42.10021209716797
20.084182739257812,5,23,,,
,5,23,27.197458267211914,0.9982885122299194,26.199169158935547
16.232797622680664,6,27,,,
,6,27,21.338041305541992,0.9891621470451355,20.348880767822266
12.946367263793945,7,31,,,
,7,31,16.065643310546875,0.9812383651733398,15.084404945373535
10.64769172668457,8,35,,,
,8,35,13.308324813842773,0.9735164642333984,12.334808349609375
9.225428581237793,9,39,,,
,9,39,10.04092025756836,0.9666198492050171,9.074300765991211
8.041704177856445,10,43,,,
,10,43,9.20985221862793,0.9580436944961548,8.251809120178223
7.3221893310546875,11,47,,,
,11,47,7.535935401916504,0.9491387605667114,6.586796283721924
6.600540637969971,12,51,,,
,12,51,6.60146427154541,0.9422736167907715,5.659191131591797
6.138625621795654,13,55,,,
,13,55,6.834519386291504,0.9348725080490112,5.899646759033203
6.110357761383057,14,59,,,
,14,59,6.653010368347168,0.9264616966247559,5.72654914855957
5.1896071434021,15,63,,,
,15,63,5.510900497436523,0.9191969633102417,4.591703414916992
4.891176223754883,16,67,,,
,16,67,5.2254180908203125,0.9131955504417419,4.312222480773926
4.859702110290527,17,71,,,
,17,71,5.041324615478516,0.9062402248382568,4.13508415222168
4.390120983123779,18,75,,,
,18,75,4.063626766204834,0.8985745310783386,3.1650524139404297
4.4465742111206055,19,79,,,
,19,79,4.017188549041748,0.8884785771369934,3.1287102699279785
4.077538967132568,20,83,,,
,20,83,4.002419471740723,0.8834279179573059,3.1189916133880615
4.259713172912598,21,87,,,
,21,87,3.9644479751586914,0.8756794333457947,3.088768482208252
3.557690143585205,22,91,,,
,22,91,3.5388660430908203,0.8695775270462036,2.669288158416748
3.5435526371002197,23,95,,,
,23,95,3.5602309703826904,0.8617729544639587,2.698457717895508
3.7499783039093018,24,99,,,
,24,99,3.842008590698242,0.8545323610305786,2.987476348876953
3.5312864780426025,25,103,,,
,25,103,3.1792855262756348,0.8452145457267761,2.334070920944214
3.26932954788208,26,107,,,
,26,107,3.259582042694092,0.8408151865005493,2.418766975402832
3.414564609527588,27,111,,,
,27,111,3.0282273292541504,0.8327879905700684,2.195439338684082
3.035142421722412,28,115,,,
,28,115,3.1454038619995117,0.8270957469940186,2.3183083534240723
3.029783248901367,29,119,,,
,29,119,2.766887664794922,0.8215564489364624,1.94533109664917
2.8817903995513916,30,123,,,
,30,123,2.8495633602142334,0.814079225063324,2.0354840755462646
2.918996810913086,31,127,,,
,31,127,2.667414665222168,0.8070578575134277,1.8603568077087402
2.9297468662261963,32,131,,,
,32,131,2.796306610107422,0.8010883331298828,1.9952183961868286
2.6657838821411133,33,135,,,
,33,135,2.596902370452881,0.79169762134552,1.8052047491073608
2.6396989822387695,34,139,,,
,34,139,2.3428151607513428,0.7871015071868896,1.5557136535644531
2.702404260635376,35,143,,,
,35,143,2.479562282562256,0.7808796763420105,1.6986826658248901
2.6895132064819336,36,147,,,
,36,147,2.176128387451172,0.7746312618255615,1.4014968872070312
2.5318751335144043,37,151,,,
,37,151,2.136625289916992,0.766646146774292,1.3699792623519897
2.3513543605804443,38,155,,,
,38,155,2.3169071674346924,0.7607600688934326,1.5561469793319702
2.14739990234375,39,159,,,
,39,159,2.5913968086242676,0.7548397779464722,1.836557149887085
2.2176475524902344,40,163,,,
,40,163,1.9606540203094482,0.7484849691390991,1.2121689319610596
2.3189992904663086,41,167,,,
,41,167,2.0462961196899414,0.7417973279953003,1.3044987916946411
2.0200448036193848,42,171,,,
